LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY
194;6;22.01563;26;91.0246;54.13728;0.1361618;0;90.88844;54.13728
195;6;22.02979;26;91.12764;54.13728;0.103035;0;90.88844;54.13728
196;6;22.04761;26;91.20648;54.13728;0.07884216;0;90.88844;54.13728
197;6;22.06323;26;91.17115;54.20796;-0.03533173;0.07067871;90.88844;54.13728
198;6;22.41895;27;91.94858;100.2176;0;0;91.94858;100.2176
199;6;22.43384;27;91.94858;100.2176;0;0;91.94858;100.2176
200;6;22.45044;27;92.01925;100.2176;0.07067108;0;91.94858;100.2176
201;6;22.46606;27;92.01925;100.2176;0;0;91.94858;100.2176
202;6;22.48389;27;92.01925;100.2176;0;0;91.94858;100.2176
203;6;22.50122;27;92.01925;100.1279;0;-0.08965302;91.94858;100.2176
204;6;22.51904;27;91.8968;100.0245;-0.1224518;-0.1034622;91.94858;100.2176
205;6;22.53394;27;91.62423;99.83644;-0.2725677;-0.1880264;91.94858;100.2176
206;6;24.18164;28;87.63738;14.55911;0;0;87.63738;14.55911
207;6;24.19995;28;87.63738;14.55911;0;0;87.63738;14.55911
208;6;24.21558;28;87.63738;14.71542;0;0.1563025;87.63738;14.55911
209;6;24.23389;28;87.63738;14.93841;0;0.222991;87.63738;14.55911
210;6;24.25;28;87.71755;15.14351;0.08016968;0.2051067;87.63738;14.55911
211;6;24.61865;29;91.3125;54.91471;0;0;91.3125;54.91471
212;6;24.63696;29;91.3125;54.91471;0;0;91.3125;54.91471
213;6;24.65308;29;91.46641;54.91471;0.1539078;0;91.3125;54.91471
214;6;24.67041;29;91.52452;55.03141;0.0581131;0.1166992;91.3125;54.91471
215;6;24.68848;29;91.52452;55.13361;0;0.1022034;91.3125;54.91471
216;6;24.70337;29;91.52452;55.23786;0;0.1042442;91.3125;54.91471
217;6;24.71997;29;91.52452;55.34106;0;0.1032028;91.3125;54.91471
218;6;25.04395;30;90.32304;101.5604;0;0;90.32304;101.5604
219;6;25.05591;30;90.32304;101.5604;0;0;90.32304;101.5604
220;6;25.0791;30;90.48629;101.5141;0.1632462;-0.04628754;90.32304;101.5604
221;6;25.08984;30;90.69182;101.4114;0.2055283;-0.1027603;90.32304;101.5604
222;6;25.10693;30;90.85825;101.2372;0.1664276;-0.1741257;90.32304;101.5604
223;6;25.12305;30;90.88844;101.1339;0.03019714;-0.1033173;90.32304;101.5604
224;6;25.13965;30;90.88844;101.0304;0;-0.1035004;90.32304;101.5604
225;6;25.15845;30;90.68507;101.2013;-0.2033691;0.1708527;90.32304;101.5604
226;6;26.48535;31;91.66587;98.09732;0;0;91.66587;98.09732
227;6;26.50269;31;91.66587;98.09732;0;0;91.66587;98.09732
228;6;26.521;31;91.827;98.25845;0.1611328;0.1611328;91.66587;98.09732
229;6;26.53613;31;91.80722;98.23868;-0.01978302;-0.01977539;91.66587;98.09732
230;6;26.552;31;91.80722;98.23868;0;0;91.66587;98.09732
