StudyID;UserID;Age;Gender;PlayingHand;TargetSize;TargetDistance;ColliderSize;HitType;TargetID;RoundID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;Repetition;Delay;TargetCombination;DominantEye;LongNails;MistakeOccured;Clockwise;DominantHand;TouchID;Outset;Goal;CrossTargets
StudyID;UserID;Age;Gender;PlayingHand;TargetSize;TargetDistance;ColliderSize;HitType;TargetID;;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;;;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;;;;Delay;TargetCombination;DominantEye;LongNails;MistakeOccured;;DominantHand;TouchID;Outset;Goal;CrossTargets
11;1;22;FALSE;R;6;40.00001;18;Goal;10;;58.97821;59.03448;0.6381836;58.52121;53.10909;;;57.23997;55.31573;-2.333332;1.346973;-1.281235;2.206642;0.05627441;;;;1;SW;R;No;No;;R;32;S;W;True
11;1;22;FALSE;R;6;-1;18;Outset;11;;60.82739;60.88275;1.849182;58.52121;53.10909;;;60.03636;56.3803;1.515152;3.271214;1.515152;3.271214;0.05535889;;;;1;WS;R;No;No;;R;33;W;S;True
11;1;22;FALSE;R;6;40.00001;18;Center;11;;61.37708;61.41901;0.5496826;98.52122;53.10909;;;98.5525;52.33939;-0.1924362;-0.7696991;0.03128052;-0.7696991;0.04193115;;;;1;WS;R;No;No;;R;34;W;S;True
11;1;22;FALSE;R;6;40;18;Goal;11;;61.95197;62.00818;0.5748901;98.52122;13.10909;;;98.9567;12.94307;0.192421;-0.409091;0.4354858;-0.1660175;0.05621338;;;;1;WS;R;No;No;;R;35;W;S;True
11;1;22;FALSE;R;6;-1;18;Outset;12;;63.82526;63.87323;1.873291;98.52122;93.10909;;;98.71364;91.97878;0.192421;-1.130302;0.192421;-1.130302;0.04797363;;;;1;NW;R;No;No;;R;36;N;W;True
11;1;22;FALSE;R;6;40;18;Center;12;;64.36536;64.41833;0.5401001;98.52122;53.10909;;;99.86818;49.45303;0.7696915;-3.656059;1.346962;-3.656059;0.05297852;;;;1;NW;R;No;No;;R;37;N;W;True
11;1;22;FALSE;R;6;40.00001;18;Goal;12;;65.12415;65.16656;0.7587891;58.52121;53.10909;;;58.01552;51.76186;-1.371212;-1.92424;-0.5056915;-1.347229;0.04241943;;;;1;NW;R;No;No;;R;38;N;W;True
11;1;22;FALSE;R;6;-1;18;Outset;13;;66.87439;66.95667;1.750244;138.5212;53.10909;;;139.7;55.80303;1.178787;2.693943;1.178787;2.693943;0.08227539;;;;1;EW;R;No;No;;R;39;E;W;True
11;1;22;FALSE;R;6;39.99999;18;Center;13;;67.41864;67.47498;0.5442505;98.52122;53.10909;;;96.11159;53.3934;-3.078796;-0.3848495;-2.40963;0.2843132;0.05633545;;;;1;EW;R;No;No;;R;40;E;W;True
11;1;22;FALSE;R;6;40.00001;18;Goal;13;;67.95593;68.02289;0.5372925;58.52121;53.10909;;;60.22878;55.89924;1.515152;2.116669;1.707573;2.79015;0.06695557;;;;1;EW;R;No;No;;R;41;E;W;True
11;1;22;FALSE;R;6;-1;18;Outset;14;;69.76611;69.82208;1.810181;58.52121;53.10909;;;62.99688;51.29608;3.824245;-2.501514;4.47567;-1.813007;0.05596924;;;;1;WE;R;No;No;;R;42;W;E;True
