ID;StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;AccelerationX,AccelerationY;AccelerationZ;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;42;9;18.00049;23;99.86818;74.2124;0;-0.1595612;99.86818;74.37196;0.007805316;0.01536672;-0.9760303;89.54187;89.09803;178.9884;2019/08/07 11:08:49;C
 ;12;43;9;18.03418;23;99.86818;74.17954;0;-0.0328598;99.86818;74.37196;0.00817119;0.01878154;-1.005178;89.53432;88.9296;178.8328;2019/08/07 11:08:49;C
 ;12;44;9;18.23584;24;140.0848;72.35151;0;0;140.0848;72.35151;0.003414826;0.01939133;-0.991519;89.8027;88.8796;178.8624;2019/08/07 11:08:49;C
 ;12;45;9;18.26953;24;139.7962;72.39672;-0.28862;0.04521179;140.0848;72.35151;0.004878322;0.01573259;-0.9849333;89.71625;89.08488;179.0418;2019/08/07 11:08:50;C
 ;12;46;9;19.91553;25;101.5038;35.30985;0;0;101.5038;35.30985;-0.0007317484;0.007439442;-0.8633411;90.04855;89.50629;179.5034;2019/08/07 11:08:51;C
 ;12;47;9;19.94922;25;101.2916;35.30985;-0.2121887;0;101.5038;35.30985;0.006585735;0.01548867;-0.9467604;89.6015;89.06276;178.9816;2019/08/07 11:08:51;C
 ;12;48;9;20.15088;26;102.6583;79.27879;0;0;102.6583;79.27879;0.009146854;0.0226842;-1.051522;89.50173;88.76421;178.6675;2019/08/07 11:08:51;C
 ;12;49;9;20.18457;26;102.6583;79.27879;0;0;102.6583;79.27879;0.008415106;0.02073287;-0.9832258;89.50974;88.79205;178.6963;2019/08/07 11:08:51;C
 ;12;50;9;20.38623;27;101.5038;106.7955;0;0;101.5038;106.7955;0.01000056;0.02866014;-1.101769;89.48013;88.50996;178.4218;2019/08/07 11:08:52;C
 ;12;51;9;22.09863;28;102.947;109.5856;0;0;102.947;109.5856;0.01109818;0.02365986;-1.037253;89.38714;88.69337;178.5568;2019/08/07 11:08:53;C
 ;12;52;9;22.3335;29;100.6379;77.45076;0;0;100.6379;77.45076;0.0002439161;0.01451301;-1.027131;89.98639;89.19048;179.1906;2019/08/07 11:08:54;C
 ;12;53;9;22.36719;29;100.0498;77.25833;-0.5881271;-0.1924286;100.6379;77.45076;0.01024448;0.01975721;-1.002739;89.41476;88.87129;178.7283;2019/08/07 11:08:54;C
 ;12;54;9;22.40088;29;100.1826;77.25833;0.1328812;0;100.6379;77.45076;0.01061035;0.01731804;-0.9851772;89.38304;88.99297;178.819;2019/08/07 11:08:54;C
 ;12;55;9;22.60254;30;99.77197;29.63333;0;0;99.77197;29.63333;0.003414826;0.00878098;-0.9207833;89.78751;89.45361;179.4135;2019/08/07 11:08:54;C
 ;12;56;9;22.63574;30;99.82758;29.49652;0.05561066;-0.1368122;99.77197;29.63333;0.006951609;0.0226842;-1.073963;89.62921;88.79;178.7345;2019/08/07 11:08:54;C
 ;12;57;9;24.24805;31;136.7174;77.93182;0;0;136.7174;77.93182;0.00317091;0.01670825;-0.968347;89.81241;89.01149;178.994;2019/08/07 11:08:55;C
 ;12;58;9;24.28174;31;136.6212;77.93182;-0.09620667;0;136.7174;77.93182;0.006219861;0.01536672;-0.9735912;89.63401;89.09576;179.0244;2019/08/07 11:08:56;C
 ;12;59;9;24.41602;32;101.1689;72.30522;0;0;101.1689;72.30522;0.009146854;0.01804979;-0.9781036;89.46429;88.94283;178.8147;2019/08/07 11:08:56;C
 ;12;60;9;24.44971;32;101.2151;72.35151;0.04627991;0.04628754;101.1689;72.30522;0.00939077;0.01597651;-0.9938362;89.45869;89.07905;178.9319;2019/08/07 11:08:56;C
 ;12;61;9;24.4834;32;101.8695;75.07452;0.6543121;2.723015;101.1689;72.30522;0.006707693;0.01683021;-0.9949338;89.61378;89.0309;178.9568;2019/08/07 11:08:56;C
 ;12;62;9;24.68457;33;99.91257;111.7023;0;0;99.91257;111.7023;0.01024448;0.02414769;-1.025058;89.42756;88.65057;178.5341;2019/08/07 11:08:56;C
 ;12;63;9;24.71826;33;100.1568;112.6163;0.2442474;0.9140015;99.91257;111.7023;0.009756644;0.02073287;-1.04079;89.46301;88.85884;178.739;2019/08/07 11:08:56;C
 ;12;64;9;26.33057;34;135.9477;78.70152;0;0;135.9477;78.70152;0.002195245;0.01329343;-0.9463945;89.8671;89.19525;179.1843;2019/08/07 11:08:58;C
 ;12;65;9;26.36426;34;136.0843;78.70152;0.1365967;0;135.9477;78.70152;0.007927273;0.01646434;-1.001885;89.54672;89.05855;178.9551;2019/08/07 11:08:58;C
 ;12;66;9;26.49854;35;105.5447;75.14166;0;0;105.5447;75.14166;0.01000056;0.01841567;-0.9402966;89.39076;88.87807;178.7233;2019/08/07 11:08:58;C
 ;12;67;9;26.53223;35;105.307;75.14166;-0.2376862;0;105.5447;75.14166;0.005244196;0.01524476;-1.000056;89.69958;89.12666;179.0763;2019/08/07 11:08:58;C
 ;12;68;9;26.73389;36;102.2735;42.14091;0;0;102.2735;42.14091;0.009146854;0.01463497;-0.8711464;89.39851;89.03759;178.8649;2019/08/07 11:08:58;C
